Sr No.,Student Name,Registration No.,Department,University,Degree Level,Country,City,Semester,Section,No. of Pending Courses,Pending Type,Pending Courses Name
199,Syed Hernandez,BS25-EST-037,Economics,Harvard University,BS,United States,Atlanta,3rd,C,3,Not Registered,"International Trade, Econometrics, Pakistan Studies"
200,Hamza Brown,MS24-GD-060,Graphic Design,Karlsruhe Institute of Technology,MS,Germany,Aachen,2nd,C,2,Fail,"Islamic Studies / Ethics, Critical Thinking"
201,Daniel Patel,MPHIL25-BA-241,Business Administration,Heidelberg University,Mphil,Germany,Munich,8th,D,0,All Clear,None
202,Zain Williams,PHD23-CS-040,Computer Science,University of Edinburgh,PhD,United Kingdom,Edinburgh,5th,B,0,All Clear,None
203,Priya Malik,BS23-SE-195,Software Engineering,University College London (UCL),BS,United Kingdom,London,2nd,A,0,All Clear,None
204,Syed Williams,MASTER23-GD-142,Graphic Design,University of Oxford,Master,United Kingdom,Cambridge,7th,A,0,All Clear,None
205,Ahmad Lee,MPHIL22-SST-147,Statistics,Universiti Penyelidikan,Mphil,Malaysia,Penang,7th,D,0,All Clear,None
206,Sarah Johnson,MPHIL22-DS-112,Data Science,Ludwig Maximilian University of Munich,Mphil,Germany,Heidelberg,5th,D,0,All Clear,None
207,Min-jun Fischer,MPHIL22-SE-118,Software Engineering,University of Waterloo,Mphil,Canada,Toronto,4th,D,0,All Clear,None
208,Liam Sharma,PHD24-SE-209,Software Engineering,University of Toronto,PhD,Canada,Waterloo,7th,C,1,Withdraw,Communication Skills
209,Mia Müller,MASTER22-DA-084,Data Analytics,University of Delhi,Master,India,Bangalore,6th,C,0,All Clear,None
210,Noah Hernandez,MS24-EST-205,Economics,Heidelberg University,MS,Germany,Munich,3rd,A,0,All Clear,None
211,Sarah Hussein,MPHIL24-DA-019,Data Analytics,"University of California, Berkeley",Mphil,United States,Berkeley,4th,C,0,All Clear,None
212,Abdul Kim,PHD25-GD-164,Graphic Design,Universiti Penyelidikan,PhD,Malaysia,Johor Bahru,7th,A,2,Dropped,"Pakistan Studies, Critical Thinking"
213,Sneha Brown,PHD21-SST-026,Statistics,Australian National University,PhD,Australia,Perth,7th,C,0,All Clear,None
214,Zahra Tan,MPHIL22-CE-089,Civil Engineering,American University of Sharjah,Mphil,United Arab Emirates,Abu Dhabi,7th,D,1,Not Registered,Concrete Technology
215,Emma Wong,MPHIL24-SE-090,Software Engineering,Massachusetts Institute of Technology (MIT),Mphil,United States,Stanford,6th,D,0,All Clear,None
216,Muhammad Jones,MPHIL21-CE-218,Civil Engineering,King Saud University,Mphil,Saudi Arabia,Riyadh,2nd,C,0,All Clear,None
217,Sofia Hussein,MS24-ME-060,Mechanical Engineering,Stanford University,MS,United States,Stanford,3rd,C,1,Withdraw,Communication Skills
218,Zahra Hussein,PHD24-PST-002,Psychology,RWTH Aachen University,PhD,Germany,Munich,4th,D,1,Withdraw,Professional Ethics
219,James Shah,MS21-ME-068,Mechanical Engineering,Georgia Institute of Technology,MS,United States,Boston,6th,C,1,Not Registered,Internship
220,Noah Fischer,BS22-EST-209,Economics,Karlsruhe Institute of Technology,BS,Germany,Karlsruhe,6th,C,3,Fail,"Pakistan Studies, Macroeconomics, Communication Skills"
221,Abdul Miller,MPHIL25-MST-100,Mathematics,Imperial College London,Mphil,United Kingdom,Oxford,2nd,B,0,All Clear,None
222,Sofia Davis,MS24-GD-074,Graphic Design,University of Edinburgh,MS,United Kingdom,Edinburgh,8th,B,0,All Clear,None
223,Michael Martinez,MPHIL24-SST-247,Statistics,University of Queensland,Mphil,Australia,Perth,1st,D,0,All Clear,None
224,David Williams,MASTER25-CE-008,Civil Engineering,King Fahd University of Petroleum and Minerals,Master,Saudi Arabia,Riyadh,8th,D,1,Withdraw,Transportation Engineering
225,Yusuf Jones,MASTER23-DA-199,Data Analytics,Indian Institute of Science (IISc),Master,India,Bangalore,8th,A,0,All Clear,None
226,John Gonzalez,MASTER23-PST-224,Psychology,UNSW Sydney,Master,Australia,Melbourne,4th,D,1,Not Registered,Cognitive Psychology
227,David Fischer,PHD22-PST-201,Psychology,Stanford University,PhD,United States,Stanford,6th,D,0,All Clear,None
228,Fatima Thomas,PHD23-SE-147,Software Engineering,Indian Institute of Technology (IIT) Delhi,PhD,India,Kolkata,5th,B,0,All Clear,None
229,Michael Garcia,MASTER22-DA-038,Data Analytics,American University of Sharjah,Master,United Arab Emirates,Al Ain,1st,C,2,Withdraw,"Pakistan Studies, Time Series Analysis"
230,Liam Johnson,MPHIL21-BA-104,Business Administration,King Abdulaziz University,Mphil,Saudi Arabia,Riyadh,7th,D,0,All Clear,None
231,Noah Patel,MPHIL21-CE-204,Civil Engineering,McGill University,Mphil,Canada,Waterloo,1st,A,0,All Clear,None
232,Aisha Lee,MPHIL25-CE-034,Civil Engineering,University of Delhi,Mphil,India,Mumbai,6th,C,0,All Clear,None
233,Syed Jones,BS22-SST-113,Statistics,King Fahd University of Petroleum and Minerals,BS,Saudi Arabia,Riyadh,2nd,D,0,All Clear,None
234,Ahmad Singh,MPHIL23-BA-022,Business Administration,Ludwig Maximilian University of Munich,Mphil,Germany,Heidelberg,3rd,C,0,All Clear,None
235,Ahmad Brown,MPHIL21-BA-055,Business Administration,University of Oxford,Mphil,United Kingdom,Edinburgh,4th,D,0,All Clear,None
236,Aisha Jones,MASTER24-ME-178,Mechanical Engineering,University of Edinburgh,Master,United Kingdom,Cambridge,1st,A,0,All Clear,None
237,Abdul Taylor,BS22-CS-098,Computer Science,Stanford University,BS,United States,Berkeley,2nd,C,2,Withdraw,"Pakistan Studies, Data Structures and Algorithms"
238,Omar Hernandez,PHD22-SST-236,Statistics,Georgia Institute of Technology,PhD,United States,Atlanta,3rd,D,0,All Clear,None
239,Omar Hussein,MS23-CS-203,Computer Science,King Abdulaziz University,MS,Saudi Arabia,Jeddah,2nd,D,0,All Clear,None
240,Priya Hernandez,PHD25-ME-156,Mechanical Engineering,University of Toronto,PhD,Canada,Vancouver,5th,A,0,All Clear,None
241,Olivia Al-Mansoori,MASTER25-MST-019,Mathematics,Heidelberg University,Master,Germany,Munich,7th,A,0,All Clear,None
242,Carlos Rodriguez,MASTER24-DA-245,Data Analytics,University of engineering and Technology (UET) Lahore,Master,Pakistan,Karachi,7th,C,1,Dropped,Data Mining
243,Lucas Hassan,BS24-SST-180,Statistics,University of engineering and Technology (UET) Lahore,BS,Pakistan,Islamabad,7th,C,0,All Clear,None
244,Lucas Hernandez,BS22-DS-138,Data Science,American University of Sharjah,BS,United Arab Emirates,Abu Dhabi,5th,A,0,All Clear,None
245,Olivia Smith,BS22-BA-023,Business Administration,Universiti Teknologi Malaysia,BS,Malaysia,Johor Bahru,5th,D,1,Dropped,Pakistan Studies
246,David Al-Mansoori,BS23-CS-134,Computer Science,University of engineering and Technology (UET) Lahore,BS,Pakistan,Islamabad,3rd,A,0,All Clear,None
247,Aisha Hussein,MPHIL23-DA-135,Data Analytics,University of British Columbia,Mphil,Canada,Montreal,2nd,A,0,All Clear,None
248,Mia Müller,MASTER22-CE-095,Civil Engineering,Universiti Teknologi Malaysia,Master,Malaysia,Kuala Lumpur,6th,A,0,All Clear,None
249,Ali Gonzalez,PHD21-MST-121,Mathematics,Georgia Institute of Technology,PhD,United States,Boston,1st,A,0,All Clear,None
250,Olivia Hassan,MASTER23-ME-070,Mechanical Engineering,University of Cambridge,Master,United Kingdom,Oxford,4th,C,1,Fail,Communication Skills
251,Noah Thomas,BS23-ME-084,Mechanical Engineering,National University of Sciences and Technology (NUST),BS,Pakistan,Islamabad,7th,A,0,All Clear,None
252,Noah Singh,MPHIL25-MST-249,Mathematics,King Abdulaziz University,Mphil,Saudi Arabia,Dhahran,5th,B,0,All Clear,None
253,Daniel Kim,BS23-DA-163,Data Analytics,Indian Institute of Science (IISc),BS,India,Mumbai,7th,A,4,Dropped,"Data Visualization, Professional Ethics, Pakistan Studies, Time Series Analysis"
254,Hamza Miller,MS23-ME-024,Mechanical Engineering,University of Toronto,MS,Canada,Vancouver,7th,D,0,All Clear,None
255,Zahra Brown,MPHIL25-PST-035,Psychology,Indian Institute of Science (IISc),Mphil,India,Chennai,8th,A,0,All Clear,None
256,Olivia Thomas,BS23-EST-218,Economics,Technical University of Munich,BS,Germany,Berlin,7th,B,0,All Clear,None
257,James Garcia,MPHIL25-CE-028,Civil Engineering,Heidelberg University,Mphil,Germany,Aachen,4th,A,0,All Clear,None
258,Emma Malik,MASTER23-SE-119,Software Engineering,University College London (UCL),Master,United Kingdom,Edinburgh,2nd,C,0,All Clear,None
259,Fatima Miller,MPHIL21-BA-183,Business Administration,Massachusetts Institute of Technology (MIT),Mphil,United States,Stanford,1st,B,0,All Clear,None
260,Syed Ali,MPHIL24-SST-143,Statistics,University of Queensland,Mphil,Australia,Perth,5th,B,1,Withdraw,Statistical Inference
261,Rahul Singh,MS21-SST-150,Statistics,University of Oxford,MS,United Kingdom,Oxford,3rd,B,0,All Clear,None
262,Aisha Jones,MASTER21-MST-242,Mathematics,Massachusetts Institute of Technology (MIT),Master,United States,Boston,3rd,A,0,All Clear,None
263,Siddharth Hussein,MASTER22-PST-091,Psychology,University of Edinburgh,Master,United Kingdom,Edinburgh,8th,A,0,All Clear,None
264,Amit Al-Mansoori,MS24-CE-226,Civil Engineering,Imperial College London,MS,United Kingdom,London,1st,B,0,All Clear,None
265,Amara Gonzalez,MS25-GD-204,Graphic Design,COMSATS University Islamabad,MS,Pakistan,Karachi,7th,B,0,All Clear,None
266,Siddharth Anderson,MASTER22-ME-007,Mechanical Engineering,Heidelberg University,Master,Germany,Karlsruhe,6th,C,0,All Clear,None
267,David Brown,MASTER22-SST-169,Statistics,Indian Institute of Technology (IIT) Delhi,Master,India,Bangalore,6th,B,0,All Clear,None
268,Jessica Rodriguez,PHD22-MST-152,Mathematics,American University of Sharjah,PhD,United Arab Emirates,Al Ain,7th,C,0,All Clear,None
269,Mia Kim,MPHIL23-PST-045,Psychology,UNSW Sydney,Mphil,Australia,Melbourne,3rd,B,0,All Clear,None
270,Ali Sharma,MS25-EST-052,Economics,Massachusetts Institute of Technology (MIT),MS,United States,Stanford,1st,D,2,Fail,"Critical Thinking, Mathematical Economics"
271,Zain Singh,MS24-EST-151,Economics,COMSATS University Islamabad,MS,Pakistan,Islamabad,2nd,C,0,All Clear,None
272,Jessica Lee,MASTER25-DA-202,Data Analytics,McGill University,Master,Canada,Vancouver,8th,C,0,All Clear,None
273,Ali Müller,MPHIL24-DS-218,Data Science,Universiti Malaya (UM),Mphil,Malaysia,Penang,3rd,B,1,Dropped,Natural Language Processing
274,Aisha Johnson,BS22-EST-089,Economics,Universiti Malaya (UM),BS,Malaysia,Johor Bahru,8th,B,2,Withdraw,"Macroeconomics, Professional Ethics"
275,Omar Wilson,MS21-DS-185,Data Science,University of Queensland,MS,Australia,Melbourne,4th,A,0,All Clear,None
276,Omar Kim,MASTER24-DA-026,Data Analytics,RWTH Aachen University,Master,Germany,Karlsruhe,8th,D,1,Withdraw,Data Mining
277,Aisha Davis,MPHIL24-SE-042,Software Engineering,University of engineering and Technology (UET) Lahore,Mphil,Pakistan,Lahore,2nd,A,1,Dropped,Communication Skills
278,Hamza Brown,MS23-GD-053,Graphic Design,King Saud University,MS,Saudi Arabia,Jeddah,7th,B,2,Not Registered,"Communication Skills, Critical Thinking"
279,Sarah Smith,BS23-CS-001,Computer Science,McGill University,BS,Canada,Vancouver,7th,D,0,All Clear,None
280,David Thomas,BS21-MST-122,Mathematics,University of Alberta,BS,Canada,Waterloo,1st,B,2,Fail,"Abstract Algebra, Critical Thinking"
281,Abdul Rodriguez,MS24-GD-012,Graphic Design,University of Toronto,MS,Canada,Edmonton,6th,D,0,All Clear,None
282,John Williams,PHD23-DS-207,Data Science,King Fahd University of Petroleum and Minerals,PhD,Saudi Arabia,Jeddah,1st,B,0,All Clear,None
283,Yusuf Gonzalez,MASTER24-SST-077,Statistics,Universiti Malaya (UM),Master,Malaysia,Johor Bahru,7th,D,0,All Clear,None
284,Liam Rodriguez,PHD22-ME-249,Mechanical Engineering,University of the Punjab,PhD,Pakistan,Faisalabad,3rd,A,0,All Clear,None
285,Sarah Schneider,BS23-GD-082,Graphic Design,Indian Institute of Technology (IIT) Bombay,BS,India,New Delhi,7th,B,1,Dropped,English Composition
286,Ji-woo Schmidt,PHD25-DS-201,Data Science,Karlsruhe Institute of Technology,PhD,Germany,Aachen,8th,A,0,All Clear,None
287,Yusuf Brown,PHD23-EST-223,Economics,Ludwig Maximilian University of Munich,PhD,Germany,Heidelberg,2nd,A,0,All Clear,None
288,Jessica Anderson,MASTER24-GD-037,Graphic Design,University of Queensland,Master,Australia,Sydney,8th,A,0,All Clear,None
289,Anya Singh,MS21-SE-087,Software Engineering,Technical University of Munich,MS,Germany,Karlsruhe,1st,D,1,Fail,Islamic Studies / Ethics
290,Ananya Schneider,MASTER21-DS-049,Data Science,Stanford University,Master,United States,Stanford,6th,C,0,All Clear,None
291,Priya Tan,BS24-SE-035,Software Engineering,RWTH Aachen University,BS,Germany,Berlin,3rd,A,1,Dropped,Mobile Application Development
292,Anya Singh,BS24-CE-130,Civil Engineering,National University of Sciences and Technology (NUST),BS,Pakistan,Lahore,6th,B,0,All Clear,None
293,Sophia Schmidt,MASTER25-SE-090,Software Engineering,Massachusetts Institute of Technology (MIT),Master,United States,Stanford,8th,B,0,All Clear,None
294,Yusuf Hernandez,MASTER22-SST-166,Statistics,University of Toronto,Master,Canada,Montreal,1st,B,0,All Clear,None
295,Michael Rodriguez,BS25-ME-206,Mechanical Engineering,All India Institute of Medical Sciences (AIIMS),BS,India,Chennai,1st,D,0,All Clear,None
296,Omar Shah,MPHIL23-PST-056,Psychology,University of Alberta,Mphil,Canada,Montreal,7th,D,0,All Clear,None
297,Sofia Schneider,BS25-EST-073,Economics,American University of Sharjah,BS,United Arab Emirates,Dubai,1st,C,0,All Clear,None
298,Ravi Taylor,MPHIL22-SE-039,Software Engineering,"University of California, Berkeley",Mphil,United States,Boston,6th,C,0,All Clear,None
299,Mia Thomas,MPHIL23-GD-233,Graphic Design,Indian Institute of Technology (IIT) Delhi,Mphil,India,Kolkata,3rd,A,0,All Clear,None
300,Daniel Kim,PHD24-PST-233,Psychology,Technical University of Munich,PhD,Germany,Berlin,4th,C,1,Fail,Social Psychology
301,Sofia Rodriguez,MASTER23-CS-168,Computer Science,United Arab Emirates University,Master,United Arab Emirates,Sharjah,3rd,C,0,All Clear,None
302,Zahra Thomas,MPHIL24-GD-218,Graphic Design,Australian National University,Mphil,Australia,Sydney,6th,C,0,All Clear,None
303,Lucas Jones,BS24-EST-136,Economics,University of the Punjab,BS,Pakistan,Faisalabad,8th,B,0,All Clear,None
304,Sarah Kumar,MPHIL22-MST-200,Mathematics,National University of Sciences and Technology (NUST),Mphil,Pakistan,Islamabad,7th,D,0,All Clear,None
305,Anya Hernandez,BS22-BA-148,Business Administration,Australian National University,BS,Australia,Sydney,1st,D,2,Not Registered,"Critical Thinking, Financial Accounting"
306,Muhammad Kim,MASTER22-GD-188,Graphic Design,RWTH Aachen University,Master,Germany,Karlsruhe,7th,A,0,All Clear,None
307,Daniel Patel,BS23-MST-034,Mathematics,University of engineering and Technology (UET) Lahore,BS,Pakistan,Faisalabad,1st,B,0,All Clear,None
308,Amit Shah,BS25-DA-153,Data Analytics,American University of Sharjah,BS,United Arab Emirates,Sharjah,1st,C,0,All Clear,None
309,Rahul Ahmed,MPHIL22-CE-058,Civil Engineering,Ludwig Maximilian University of Munich,Mphil,Germany,Aachen,4th,B,1,Withdraw,Fluid Mechanics
310,Ravi Kim,MPHIL25-CS-013,Computer Science,Universiti Teknologi Malaysia,Mphil,Malaysia,Kuala Lumpur,1st,D,0,All Clear,None
311,Siddharth Jones,BS25-SST-065,Statistics,COMSATS University Islamabad,BS,Pakistan,Lahore,7th,D,0,All Clear,None
312,Ji-woo Schneider,MASTER22-DS-108,Data Science,University of Cambridge,Master,United Kingdom,Oxford,2nd,C,1,Dropped,Islamic Studies / Ethics
313,Ravi Wong,MASTER22-CS-092,Computer Science,Harvard University,Master,United States,Boston,4th,B,1,Fail,English Composition
314,Ali Williams,MPHIL21-CE-214,Civil Engineering,King Abdulaziz University,Mphil,Saudi Arabia,Riyadh,4th,A,0,All Clear,None
315,Daniel Shah,BS23-ME-068,Mechanical Engineering,King Abdulaziz University,BS,Saudi Arabia,Jeddah,2nd,C,0,All Clear,None
316,Emily Brown,MPHIL21-DS-003,Data Science,Stanford University,Mphil,United States,Boston,6th,D,1,Withdraw,Data Warehousing
317,Emily Ali,MPHIL24-CS-247,Computer Science,Universiti Penyelidikan,Mphil,Malaysia,Johor Bahru,6th,B,0,All Clear,None
318,Hamza Davis,MS21-BA-107,Business Administration,RWTH Aachen University,MS,Germany,Karlsruhe,2nd,B,2,Not Registered,"Communication Skills, English Composition"
319,Emily Hassan,MS24-SST-012,Statistics,Heidelberg University,MS,Germany,Berlin,8th,D,0,All Clear,None
320,Amara Wong,PHD25-PST-025,Psychology,University of Melbourne,PhD,Australia,Perth,4th,C,0,All Clear,None
321,Ali Davis,MASTER25-BA-218,Business Administration,University of Delhi,Master,India,Bangalore,3rd,A,0,All Clear,None
322,Anya Smith,MPHIL25-CE-058,Civil Engineering,King Abdulaziz University,Mphil,Saudi Arabia,Jeddah,4th,C,0,All Clear,None
323,Ahmad Al-Mansoori,MASTER24-CS-081,Computer Science,RWTH Aachen University,Master,Germany,Heidelberg,8th,D,0,All Clear,None
324,Muhammad Lee,BS25-SST-001,Statistics,King Saud University,BS,Saudi Arabia,Riyadh,7th,D,3,Fail,"English Composition, Sampling Techniques, Pakistan Studies"
325,Sofia Fischer,MS25-SST-122,Statistics,King Fahd University of Petroleum and Minerals,MS,Saudi Arabia,Dhahran,8th,C,2,Fail,"Statistical Inference, Critical Thinking"
326,Muhammad Davis,MPHIL24-SE-036,Software Engineering,Indian Institute of Technology (IIT) Delhi,Mphil,India,Bangalore,6th,A,1,Not Registered,Internship
327,Ananya Khan,MS25-CE-032,Civil Engineering,"University of California, Berkeley",MS,United States,Stanford,6th,A,1,Not Registered,Pakistan Studies
328,Lucas Rodriguez,BS25-ME-045,Mechanical Engineering,University College London (UCL),BS,United Kingdom,Oxford,7th,D,1,Withdraw,Communication Skills
329,Anya Ali,MASTER23-ME-249,Mechanical Engineering,Universiti Teknologi Malaysia,Master,Malaysia,Penang,7th,B,0,All Clear,None
330,Sofia Hernandez,PHD22-EST-054,Economics,University of Cambridge,PhD,United Kingdom,Edinburgh,5th,C,0,All Clear,None
331,Omar Lee,MS24-PST-150,Psychology,McGill University,MS,Canada,Vancouver,6th,A,0,All Clear,None
332,Siddharth Miller,BS21-GD-172,Graphic Design,Karlsruhe Institute of Technology,BS,Germany,Aachen,2nd,A,0,All Clear,None
333,Amit Hernandez,MPHIL25-BA-009,Business Administration,University of British Columbia,Mphil,Canada,Montreal,3rd,A,0,All Clear,None
334,Olivia Tan,PHD23-BA-178,Business Administration,King Abdulaziz University,PhD,Saudi Arabia,Riyadh,4th,D,1,Not Registered,Critical Thinking
335,Daniel Singh,MPHIL25-SST-140,Statistics,UNSW Sydney,Mphil,Australia,Melbourne,4th,D,2,Withdraw,"Sampling Techniques, Design and Analysis of Experiments"
336,Siddharth Khan,MS24-CS-072,Computer Science,King Abdulaziz University,MS,Saudi Arabia,Riyadh,3rd,A,0,All Clear,None
337,Sarah Khan,BS22-DS-238,Data Science,University of Cambridge,BS,United Kingdom,Manchester,6th,D,0,All Clear,None
338,Fatima Wong,PHD22-CE-245,Civil Engineering,University of the Punjab,PhD,Pakistan,Karachi,6th,A,0,All Clear,None
339,Omar Lopez,PHD22-GD-170,Graphic Design,Georgia Institute of Technology,PhD,United States,Stanford,7th,A,0,All Clear,None
340,Emily Patel,PHD24-EST-062,Economics,University of Sydney,PhD,Australia,Canberra,8th,A,4,Withdraw,"Communication Skills, Mathematical Economics, Public Finance, Macroeconomics"
341,Lucas Tan,MPHIL24-PST-125,Psychology,Heidelberg University,Mphil,Germany,Berlin,1st,C,0,All Clear,None
342,Zain Hernandez,BS22-CS-222,Computer Science,All India Institute of Medical Sciences (AIIMS),BS,India,Kolkata,3rd,A,1,Dropped,Critical Thinking
